iter	Passed	Remaining
439	1333	1696
440	1336	1693
441	1339	1690
442	1342	1687
443	1345	1684
444	1348	1681
445	1351	1678
446	1354	1675
447	1357	1672
448	1360	1669
449	1363	1666
450	1366	1663
451	1369	1660
452	1372	1657
453	1375	1654
454	1378	1651
455	1381	1648
456	1384	1645
457	1387	1642
458	1390	1638
459	1393	1635
460	1396	1633
461	1399	1629
462	1402	1626
463	1405	1623
464	1408	1620
465	1411	1617
466	1414	1614
467	1417	1611
468	1420	1608
469	1423	1605
470	1426	1602
471	1430	1599
472	1433	1596
473	1436	1593
474	1439	1590
475	1442	1587
476	1445	1584
477	1447	1581
478	1450	1578
479	1453	1575
480	1456	1571
481	1460	1569
482	1463	1566
483	1466	1563
484	1469	1560
485	1472	1557
486	1475	1554
487	1478	1551
488	1481	1548
489	1484	1544
490	1487	1541
491	1490	1538
492	1493	1535
493	1496	1532
494	1499	1529
495	1502	1526
496	1505	1523
497	1508	1520
498	1511	1517
499	1514	1514
500	1516	1510
501	1520	1507
502	1523	1505
503	1526	1501
504	1529	1498
505	1532	1495
506	1535	1492
507	1538	1489
508	1541	1486
509	1544	1483
510	1547	1480
511	1550	1477
512	1552	1474
513	1556	1471
514	1559	1468
515	1562	1465
516	1565	1462
517	1568	1459
518	1571	1456
519	1574	1453
520	1578	1450
521	1581	1447
522	1584	1444
523	1587	1441
524	1590	1438
525	1593	1435
526	1596	1432
527	1599	1429
528	1602	1426
529	1605	1424
530	1608	1420
531	1611	1417
532	1614	1414
533	1617	1411
534	1621	1408
535	1623	1405
536	1626	1402
537	1629	1399
538	1632	1396
539	1636	1393
540	1639	1390
541	1642	1387
542	1645	1384
543	1647	1381
544	1651	1378
545	1654	1375
546	1656	1372
547	1659	1369
548	1662	1366
549	1665	1362
550	1669	1360
551	1672	1357
552	1675	1353
553	1677	1350
554	1680	1347
555	1684	1344
556	1687	1341
557	1689	1338
558	1692	1335
559	1695	1332
560	1698	1329
561	1701	1326
562	1704	1323
563	1707	1320
564	1710	1317
565	1713	1314
566	1717	1311
567	1719	1308
568	1722	1305
569	1725	1301
570	1728	1298
571	1731	1295
572	1734	1292
573	1737	1289
574	1740	1286
575	1743	1283
576	1746	1280
577	1749	1277
578	1752	1274
579	1755	1271
580	1758	1268
581	1761	1265
582	1764	1262
583	1767	1259
584	1771	1256
585	1774	1253
586	1777	1250
587	1780	1247
588	1783	1244
589	1786	1241
590	1789	1238
591	1791	1235
592	1795	1232
593	1798	1229
594	1801	1226
595	1804	1222
596	1807	1219
597	1810	1216
598	1813	1213
599	1816	1210
600	1819	1207
601	1822	1204
602	1824	1201
603	1827	1198
604	1830	1195
605	1833	1192
606	1836	1189
607	1839	1186
608	1843	1183
609	1846	1180
610	1849	1177
611	1852	1174
612	1855	1171
613	1858	1168
614	1862	1165
615	1864	1162
616	1867	1159
617	1870	1156
618	1873	1153
619	1877	1150
620	1880	1147
621	1883	1144
622	1886	1141
623	1889	1138
624	1892	1135
625	1895	1132
626	1898	1129
627	1901	1126
628	1904	1123
629	1907	1120
630	1910	1117
631	1913	1114
632	1916	1111
633	1919	1108
634	1923	1105
635	1926	1102
636	1929	1099
637	1932	1096
638	1935	1093
639	1938	1090
640	1941	1087
641	1944	1084
642	1947	1081
643	1950	1078
644	1953	1075
645	1956	1072
646	1959	1069
647	1962	1065
648	1965	1062
649	1968	1059
650	1971	1056
651	1974	1053
652	1977	1051
653	1980	1048
654	1983	1044
655	1987	1042
656	1990	1039
657	1993	1036
658	1996	1032
659	1999	1029
660	2002	1026
661	2005	1023
662	2008	1020
663	2011	1017
664	2014	1014
665	2017	1011
666	2020	1008
667	2023	1005
668	2026	1002
669	2029	999
670	2032	996
671	2035	993
