iter	Logloss
0	0.6861150832
1	0.6805544483
2	0.6737408281
3	0.6668879191
4	0.6608600227
5	0.6553307358
6	0.6495487966
7	0.6425797858
8	0.6359332857
9	0.6294748734
10	0.6239741319
11	0.6187493461
12	0.6133514197
13	0.6085638968
14	0.6022186279
15	0.5973937365
16	0.5924138698
17	0.588713873
18	0.5833944723
19	0.578849533
20	0.5733968514
21	0.5676622975
22	0.5628350187
23	0.5586286791
24	0.5553717581
25	0.5509330075
26	0.5459753543
27	0.541130533
28	0.5368300976
29	0.5323633726
30	0.5279633399
31	0.5235459723
32	0.5195497266
33	0.5152778885
34	0.5116119385
35	0.5079009387
36	0.5039452793
37	0.5000456726
38	0.4958041963
39	0.4915281542
40	0.4883613846
41	0.4852490068
42	0.481930843
43	0.4787534337
44	0.4763136883
45	0.4732074348
46	0.4699777616
47	0.4668660067
48	0.4641907361
49	0.4613472556
50	0.4580764252
51	0.4548478418
52	0.4524280782
53	0.4492063976
54	0.4461638781
55	0.4435257685
56	0.44033227
57	0.4381431528
58	0.4350462414
59	0.4325713073
60	0.430415666
61	0.4279219699
62	0.425291282
63	0.4228355252
64	0.4210258017
65	0.4187122527
66	0.4169055913
67	0.414048383
68	0.411630358
69	0.4101659554
70	0.4083826234
71	0.4062436681
72	0.4051507444
73	0.4032452642
74	0.4013536155
75	0.3986802134
76	0.3968435015
77	0.3945759105
78	0.3923202048
79	0.3910963616
80	0.389465332
81	0.3876619663
82	0.3861064003
83	0.3837784488
84	0.3816693883
85	0.3801983684
86	0.3785972855
87	0.3769203238
88	0.37506062
89	0.3737480527
90	0.3718863766
91	0.3703153961
92	0.3684591955
93	0.3663666913
94	0.3646741076
95	0.3630712081
96	0.3609948969
97	0.3597483992
98	0.3584512983
99	0.3571031013
100	0.3557188073
101	0.3542492406
102	0.3531704079
103	0.3521379224
104	0.3508731038
105	0.3496069876
106	0.3483171787
107	0.3470775319
108	0.3460036297
109	0.3449346841
110	0.3443382678
111	0.3429161643
112	0.3414772968
113	0.3407044703
114	0.3396626168
115	0.3386095008
116	0.3383396694
117	0.3368872558
118	0.3357479589
119	0.3345457324
120	0.3333211886
121	0.3323298863
122	0.3313576835
123	0.3304697154
124	0.3294619606
125	0.3282824406
126	0.327420838
127	0.3264476231
128	0.325803069
129	0.3252390128
130	0.3241248098
131	0.3234412524
132	0.3223975045
133	0.3213654862
134	0.3204139658
135	0.3193319931
136	0.3182991962
137	0.3173869905
138	0.3165259848
139	0.3158101192
140	0.3148081254
141	0.3136266592
142	0.3124463088
143	0.3115789712
144	0.3105769255
145	0.309176724
146	0.3085633881
147	0.3076202496
148	0.3067122479
149	0.3059888567
150	0.3053891448
151	0.3044953379
152	0.3039346812
153	0.3029160273
154	0.3021827231
155	0.3012077435
156	0.3003366691
157	0.2997456765
158	0.2988369481
159	0.2983295415
160	0.2975581422
161	0.2966840056
162	0.296181296
163	0.2954205104
164	0.294673738
165	0.2939975764
166	0.2931195473
167	0.2924531171
168	0.2918290897
169	0.2913393812
170	0.2905606121
171	0.2900569942
172	0.2891257928
173	0.2884384986
174	0.2878480769
175	0.2871951149
176	0.2865588389
177	0.2861210311
178	0.2854277423
179	0.2847243069
180	0.284164792
181	0.2836313053
182	0.2831189941
183	0.28239293
184	0.2817359976
185	0.2810391017
186	0.2804831161
187	0.2799155826
188	0.2795233954
189	0.2790270436
190	0.278417756
191	0.2776134776
192	0.2771014778
193	0.2764476075
194	0.2758207516
195	0.2755343379
196	0.2754533469
197	0.2748770681
198	0.2743945479
199	0.2737507723
200	0.273293346
201	0.272932351
202	0.2722067282
203	0.271453027
204	0.270853367
205	0.2699900517
206	0.2695026008
207	0.2690693602
208	0.2683797823
209	0.2677452191
210	0.2671845624
211	0.2667978248
212	0.2661281248
213	0.2656669357
214	0.2650861675
215	0.2644129643
216	0.2637137069
217	0.2631522977
218	0.2625481223
219	0.2621997133
220	0.2618479307
221	0.2613455844
222	0.2608118901
223	0.2602833339
224	0.2599328489
225	0.259455363
226	0.2588599588
227	0.2586717411
228	0.2582307932
229	0.2579858481
230	0.2574119308
231	0.2570979579
232	0.2565689346
233	0.2558542368
234	0.2553645283
235	0.2548554609
236	0.2545098026
237	0.2541897573
238	0.2539186024
239	0.2533534044
240	0.2530729852
241	0.2525181154
242	0.2518493237
243	0.2515131632
244	0.2511177322
245	0.2506357569
246	0.2501225893
247	0.2495625295
248	0.2491768299
249	0.2487290571
250	0.2482822963
251	0.2480538816
252	0.2473242623
253	0.2470283768
254	0.2468238363
255	0.246763398
256	0.2464666821
257	0.2458622472
258	0.2456353116
259	0.2452200027
260	0.2451480165
261	0.2447057452
262	0.2444179042
263	0.2439653565
264	0.2433830832
265	0.242982021
266	0.2423010067
267	0.2419327457
268	0.2415503677
269	0.2413745802
270	0.2408788772
271	0.2405400438
272	0.2401605463
273	0.2398936213
274	0.2392928195
275	0.2390988408
276	0.2386831167
277	0.2383189299
278	0.2381011548
279	0.2379130668
280	0.2376710022
281	0.237468434
282	0.237227615
283	0.2368287067
284	0.2363635212
285	0.2356682862
286	0.2352977156
287	0.2348363708
288	0.2345957853
289	0.2342175075
290	0.2338707074
291	0.2334787278
292	0.2332823877
293	0.2329915365
294	0.2328828565
295	0.2323718168
296	0.2321488517
297	0.2318856895
298	0.2314126151
299	0.2311130965
300	0.2306984103
301	0.23043325
302	0.2302607841
303	0.2300083394
304	0.229854454
305	0.2295912399
306	0.2293297125
307	0.2289812776
308	0.2286887655
309	0.2285106685
310	0.2283648796
311	0.2280041701
312	0.227794751
313	0.2275637672
314	0.2273864487
315	0.227165845
316	0.2269577234
317	0.2266869058
318	0.2262827815
319	0.2257534987
320	0.2254344395
321	0.2252663593
322	0.2249952044
323	0.2247792977
324	0.2243291634
325	0.224082298
326	0.2234290765
327	0.2230242256
328	0.2228020389
329	0.2224318316
330	0.2223401491
331	0.2220778692
332	0.2218403978
333	0.2213669083
334	0.2209931198
335	0.2208686881
336	0.2204303093
337	0.2200768659
338	0.2198987169
339	0.219624422
340	0.2193208292
341	0.2192465335
342	0.2190037422
